goal combination,count,pick count
"['1 Skulltula from each Adult Dungeon', '1 Skulltula from each Child Dungeon', '2 Skulltulas in Lon Lon Ranch']",2,1
"['1 Skulltula from each Adult Dungeon', '1 Skulltula from each Child Dungeon', '8 Different Unused Keys in Gerudo Training Grounds']",1,0
"['1 Skulltula from each Adult Dungeon', '1 Skulltula from each Child Dungeon', 'All 4 Lost Woods area Skulltulas']",1,0
"['1 Skulltula from each Adult Dungeon', '1 Skulltula from each Child Dungeon', 'All 8 Death Mountain area Skulltulas']",1,0
"['1 Skulltula from each Adult Dungeon', '1 Skulltula from each Child Dungeon', 'Beat the Shadow Temple']",1,0
"['1 Skulltula from each Adult Dungeon', '1 Skulltula from each Child Dungeon', 'Bullet Bag (50)']",1,1
"['1 Skulltula from each Adult Dungeon', '1 Skulltula from each Child Dungeon', 'Clear 8 Silver Rupee Rooms']",1,0
"['1 Skulltula from each Adult Dungeon', '1 Skulltula from each Child Dungeon', 'Cow in House']",1,2
"['1 Skulltula from each Adult Dungeon', '1 Skulltula from each Child Dungeon', 'Defeat Meg (purple Poe)']",2,3
"['1 Skulltula from each Adult Dungeon', '1 Skulltula from each Child Dungeon', 'Dins Fire']",1,0
"['1 Skulltula from each Adult Dungeon', '1 Skulltula from each Child Dungeon', 'Fire Temple Boss Key']",1,0
"['1 Skulltula from each Adult Dungeon', '1 Skulltula from each Child Dungeon', 'Gerudos Card']",1,1
"['1 Skulltula from each Adult Dungeon', '1 Skulltula from each Child Dungeon', 'Giants Knife']",2,0
"['1 Skulltula from each Adult Dungeon', '1 Skulltula from each Child Dungeon', 'Green Gauntlets']",1,0
"['1 Skulltula from each Adult Dungeon', '1 Skulltula from each Child Dungeon', 'Map & Compass in Jabu-Jabu']",1,2
"['1 Skulltula from each Adult Dungeon', '1 Skulltula from each Child Dungeon', 'Obtain all 5 Small Keys in Shadow Temple']",1,0
"['1 Skulltula from each Adult Dungeon', '1 Skulltula from each Child Dungeon', 'Obtain all 8 Small Keys in Fire Temple']",1,1
"['1 Skulltula from each Adult Dungeon', '1 Skulltula from each Child Dungeon', 'Open the Final Door of Spirit Trial']",1,0
"['1 Skulltula from each Adult Dungeon', '1 Skulltula from each Child Dungeon', 'Open the Final Door of Water Trial']",1,1
"['1 Skulltula from each Adult Dungeon', '1 Skulltula from each Child Dungeon', 'Silver Gauntlets']",1,0
"['1 Skulltula from each Adult Dungeon', '1 Skulltula from each Child Dungeon', 'Silver Scale']",1,0
"['1 Skulltula from each Adult Dungeon', '1 Skulltula from each Child Dungeon']",8,4
"['1 Skulltula from each Adult Dungeon', '2 Skulltulas in Lon Lon Ranch', '3 Swords & 3 Boots']",1,1
"['1 Skulltula from each Adult Dungeon', '2 Skulltulas in Lon Lon Ranch', '4 Unused Keys in Forest Temple']",1,1
"['1 Skulltula from each Adult Dungeon', '2 Skulltulas in Lon Lon Ranch', '5 Zora area HPs']",1,1
"['1 Skulltula from each Adult Dungeon', '2 Skulltulas in Lon Lon Ranch', 'All 5 Skulltulas in Spirit Temple']",1,1
"['1 Skulltula from each Adult Dungeon', '2 Skulltulas in Lon Lon Ranch', 'Clear 8 Silver Rupee Rooms']",1,2
"['1 Skulltula from each Adult Dungeon', '2 Skulltulas in Lon Lon Ranch', 'Defeat Meg (purple Poe)']",1,1
"['1 Skulltula from each Adult Dungeon', '2 Skulltulas in Lon Lon Ranch', 'Dins Fire']",1,0
"['1 Skulltula from each Adult Dungeon', '2 Skulltulas in Lon Lon Ranch', 'Golden Gauntlets']",1,1
