,weekly wins,races,average,median,forfeits,blanks,sarias,multizl,bit,lacs,synergy
triforce3250,0,38,1:24:18,1:23:08,0,0,5,3,4,2,74.34210526315789
WickedGligar,1,100,1:20:09,1:19:17,13,1,12,17,2,10,74.37707641196013
Cabbage72,0,54,1:35:14,1:35:02,4,4,8,4,3,5,75.62111801242236
Countdown,0,28,1:37:33,1:36:13,8,0,0,3,0,3,75.35714285714286
CoffeePot,0,37,1:37:43,1:37:18,0,0,7,4,3,6,73.45559845559846
FantaTanked,0,26,1:13:36,1:11:22,4,0,5,2,1,3,65.25974025974025
Timato,0,4,1:11:56,1:13:08,0,1,0,0,0,0,76.19047619047619
jenslang,1,33,1:18:49,1:17:55,0,0,4,2,2,4,74.56709956709958
Exodus,1,13,1:11:24,1:11:53,0,0,1,3,0,6,65.10989010989012
juwk,1,17,1:08:40,1:08:42,0,0,2,3,0,2,86.76470588235293
Nalle,0,38,1:18:48,1:18:35,6,3,5,3,3,3,64.53201970443351
Titou,1,68,1:14:27,1:14:08,5,1,8,7,3,14,73.15668202764977
Myelin,0,8,1:44:25,1:43:29,2,0,2,0,1,1,80.95238095238095
dotzo,0,6,1:21:47,1:19:35,0,2,1,0,0,0,80.35714285714286
Tashman91,0,4,1:36:33,1:35:23,0,0,1,1,0,2,33.92857142857143
Challensois_,0,89,1:22:51,1:21:21,25,2,8,11,8,11,72.2926267281106
noface099,0,40,1:41:12,1:39:02,15,4,6,2,2,3,81.46258503401361
Link11,0,35,1:20:07,1:18:50,2,0,4,6,2,4,74.35064935064935
blinkzy,0,28,1:23:02,1:22:05,0,23,2,1,0,0,55.00000000000001
MatttInTheHat,0,21,1:28:01,1:25:46,1,1,5,1,1,1,66.72932330827068
moosecrap,0,9,1:44:21,1:44:56,0,0,5,1,0,1,69.84126984126985
Photon,0,18,1:46:14,1:44:32,1,1,3,1,1,2,74.10714285714286
haktical,0,2,2:27:50,2:27:50,0,0,1,1,0,1,73.21428571428571
TheCowness,0,2,3:26:46,3:26:46,1,1,0,0,0,0,
tob3000,3,9,1:12:51,1:09:36,0,0,2,0,1,1,70.63492063492063
the__consultant,0,56,1:18:10,1:16:20,9,2,4,9,2,9,75.63492063492063
Xanra,0,3,1:24:27,1:24:37,0,0,2,1,0,0,51.1904761904762
neefe,0,20,1:28:02,1:27:53,1,0,8,6,2,1,69.3609022556391
LadyLambdadeltasDandruff,0,1,1:31:04,1:31:04,0,0,0,0,0,0,100.0
The corpser,0,7,2:06:58,2:05:50,4,0,2,1,0,0,57.14285714285714
MooseOoT,1,18,1:16:30,1:16:59,7,0,0,0,0,0,83.44155844155844
Apasher,0,9,1:28:18,1:26:02,2,0,5,2,0,1,65.3061224489796
MutantAura,1,44,1:18:47,1:17:31,0,1,4,3,1,3,77.07641196013289
Grego,0,25,1:37:15,1:34:20,5,0,4,5,1,6,74.46428571428572
2DollarGargoyle,1,8,1:16:57,1:15:58,0,0,1,2,0,2,76.78571428571429
AverageGreg,0,19,1:17:44,1:18:16,0,1,3,2,1,2,84.92063492063492
Gombill,0,4,1:25:34,1:24:20,0,1,1,0,0,0,75.0
Bou_Frost,0,10,1:34:15,1:32:34,0,0,4,1,0,1,76.07142857142858
adef,0,10,1:35:24,1:33:36,0,0,1,1,0,2,65.0
Midboss,0,6,1:35:37,1:36:11,0,0,0,0,1,0,54.761904761904766
PaintSkate8,0,7,1:29:17,1:27:07,0,2,0,0,0,1,88.57142857142858
benstephens56,0,17,1:42:54,1:41:42,0,3,3,2,0,0,75.25510204081634
LiterallyLake,0,21,1:16:05,1:15:25,2,0,4,2,1,0,76.8796992481203
PsyMarth,0,9,1:33:20,1:32:02,0,0,1,0,0,0,75.0
Darker,0,6,2:13:45,2:08:15,0,0,1,1,1,0,66.07142857142857
Glasfolie,0,6,2:22:39,2:18:44,1,4,0,0,0,1,53.57142857142857
ClydePowers,0,36,2:09:51,2:00:29,13,14,3,1,0,2,63.0952380952381
Fenyan,0,14,1:20:28,1:19:22,0,1,3,1,0,1,67.85714285714286
JFM2796,0,11,1:20:49,1:21:57,3,0,2,2,1,2,72.32142857142857
Runnerguy2489,0,6,1:20:32,1:16:13,0,0,0,0,0,0,83.92857142857143
shaggy,0,7,1:41:47,1:45:38,0,0,2,0,0,2,58.16326530612245
Cloudike,0,18,1:38:18,1:34:21,2,2,6,3,0,1,64.54081632653062
khuno,0,7,2:14:49,2:06:29,1,5,1,0,0,0,89.28571428571429
Savestate,0,9,2:35:18,2:37:04,1,1,0,0,0,0,64.28571428571429
Cisco64,0,5,1:55:02,1:55:59,0,0,2,1,0,0,40.714285714285715
gamestabled,0,8,1:46:42,1:45:16,0,1,3,1,0,1,67.85714285714286
shiroaeli,0,7,1:45:37,1:43:35,0,0,1,1,0,3,53.57142857142857
Alaris,0,1,1:42:13,1:42:13,0,0,0,0,0,0,92.85714285714286
Aksannyi,0,1,nan,nan,1,0,0,0,0,0,
Juchemao17,0,1,1:59:46,1:59:46,0,0,0,0,0,0,64.28571428571429
Condor,0,1,1:45:46,1:45:46,0,0,0,0,0,0,53.57142857142857
Woli,0,4,1:33:05,1:34:08,1,0,0,1,1,2,96.42857142857143
